date,date_id,day,month,year,day_of_week
2025-07-04 23:05:15,1,4,7,2025,4
2025-07-04 23:05:13,2,4,7,2025,4
2025-07-04 23:05:12,3,4,7,2025,4
2025-07-04 23:05:14,4,4,7,2025,4
