city,date,temp,temp_min,temp_max,humidity,pressure,wind_speed,weather,rain
Berlin,2025-07-04 22:34:38,21.35,19.45,22.77,45,1022,2.06,Clear,0
Dubai,2025-07-04 22:34:39,33.96,33.96,34.14,62,996,3.09,Clouds,0
London,2025-07-04 22:34:36,24.19,22.79,24.86,39,1022,5.66,Clouds,0
Moscow,2025-07-04 22:34:39,19.71,18.24,19.81,46,1012,2.8,Clouds,0
New York,2025-07-04 22:34:37,28.9,27.31,30.01,36,1017,5.14,Clouds,0
Paris,2025-07-04 22:34:36,25.21,24.31,25.76,34,1023,3.6,Clear,0
Sydney,2025-07-04 22:34:38,7.47,5.27,8.53,88,1023,2.57,Clear,0
Tokyo,2025-07-04 22:34:37,26.24,23.77,27.1,81,1004,3.09,Clouds,0
