city,date,temp,temp_min,temp_max,humidity,pressure,wind_speed,weather,rain
Paris,2025-07-04 23:05:12,24.25,22.27,25.2,36,1023,2.57,Clear,0
London,2025-07-04 23:05:12,23.14,21.72,23.89,44,1022,5.66,Clouds,0
New York,2025-07-04 23:05:12,29.03,27.75,29.99,37,1017,5.14,Clouds,0
Tokyo,2025-07-04 23:05:13,26.38,23.77,27.02,82,1004,2.06,Clouds,0
Berlin,2025-07-04 23:05:13,20.3,17.83,21.15,48,1022,1.54,Clear,0
Sydney,2025-07-04 23:05:14,7.6,5.27,7.98,84,1023,3.09,Clear,0
Moscow,2025-07-04 23:05:14,17.24,17.24,18.29,56,1013,2.8,Clouds,0
Dubai,2025-07-04 23:05:15,33.96,33.96,34.14,62,997,2.57,Clouds,0
Antananarivo,2025-07-04 23:05:15,11.98,11.98,11.98,100,1026,4.12,Drizzle,0
